Ville;Code Postal
Paris;75000
Marseille;13000
Lyon;69000
Toulouse;31000
Nice;6000
Nantes;44000
Strasbourg;67000
Montpellier;34000
Bordeaux;77410
Lille;59000
Rennes;35000
Reims;51100
Le Havre;76600
Saint-Étienne;13150
Toulon;83000
Grenoble;38000
Dijon;21000
Angers;49000
Nîmes;2150
Villeurbanne;69100
Saint-Denis;13150
Le Mans;72000
Clermont-Ferrand;11250
Aix-en-Provence;62160
Brest;29200
Limoges;87000
Tours;37000
Amiens;80000
Perpignan;66000
Metz;57000
Boulogne-Billancourt;62200
Besançon;25000
Orléans;65800
Rouen;76000
Mulhouse;68100
Caen;14000
Saint-Denis;13150
Nancy;54000
Argenteuil;95100
Saint-Paul;13150
Montreuil;93100
Roubaix;59100
Tourcoing;59200
Dunkerqu 1;7360
Nanterre;92000
Créteil;54113
Avignon;84000
Vitry-sur-Seine;94400
Poitiers;86000
Courbevoie;92400
Fort-de-France;27210
Versailles;78000
Colombes;92700
Asnières-sur-Seine;72430
Aulnay-sous-Bois;78126
Saint-Pierre;13150
Rueil-Malmaison;92500
Pau;64000
Aubervilliers;93300
Champigny-sur-Marne;37120
Le Tampon;97430
Antibes;6600
Saint-Maur-des-Fossés;13150
La Rochelle;70120
Cannes;6400
Béziers;32140
Calais;62100
Saint-Nazaire;13150
Colmar;68000
Drancy;93700
Bourges;18000
Mérignac;20167
Ajaccio;20000
Issy-les-Moulineaux;92130
Levallois-Perret;92300
La Seyne-sur-Mer;83500
Quimper;29000
Noisy-le-Grand;95270
Valence;82400
Villeneuve-d'Ascq;31270
Neuilly-sur-Seine;52000
Antony;92160
Vénissieux;20242
Cergy;95000
Troyes;10000
Clichy;92110
Pessac;33600
Les Abymes;97139
Ivry-sur-Seine;94200
Chambéry;43410
Lorient;56100
Niort;79000
Sarcelles;95200
Montauban;82000
Villejuif;94800
Saint-Quentin;13150
Hyères;25110
Cayenne;97300
Épinay-sur-Seine;27530
Saint-André;13150
Beauvais;60000
Maisons-Alfort;10200
Cholet;49300
Meaux;77100
Chelles;77500
Pantin;93500
Fontenay-sous-Bois;77610
La Roche-sur-Yon;71960
Bondy;93140
Vannes;56000
Saint-Louis;13150
Fréjus;7000
Arles;13200
Clamart;92140
Évry;27530
Le Blanc-Mesnil;93150
Narbonne;11100
Sartrouville;78500
Grasse;6130
Annecy;74000
Laval;53000
Belfort;90000
Vincennes;94300
Charleville-Mézières;57220
Évreux;27530
Sevran;93270
Albi;81000
Montrouge;92120
Bobigny;93000
Martigues;13500
Saint-Ouen;13150
Brive-la-Gaillarde;19100
Suresnes;92150
Carcassonne;11000
Cagnes-sur-Mer;6800
Corbeil-Essonnes;91100
Saint-Brieuc;13150
Blois;41000
Bayonne;64100
Aubagne;13400
Châlons-en-Champagne;25170
Meudon;92190
Châteauroux;25170
Saint-Malo;13150
Chalon-sur-Saône;71100
Sète;39270
Puteaux;92800
Alfortville;94140
Salon-de-Provence;19510
Massy;91300
Mantes-la-Jolie;78200
Bastia;20200
Vaulx-en-Velin;62159
Saint-Herblain;13150
Le Cannet;6110
Valenciennes;59300
Istres;13800
Gennevilliers;92230
Boulogne-sur-Mer;62200
Livry-Gargan;77000
Saint-Priest;13150
Rosny-sous-Bois;78710
Caluire-et-Cuire;69300
Angoulême;16000
Douai;59500
Tarbes;65000
Wattrelos;59150
Castres;81100
Choisy-le-Roi;94600
Talence;33400
Thionville;57100
Arras;62000
Alès;26770
Garges-lès-Gonesse;95140
Gap;5000
Saint-Laurent-du-Maroni;13150
Melun;77000
Bourg-en-Bresse;52150
Noisy-le-Sec;95270
Compiègne;60200
La Courneuve;93120
Le Lamentin;97232
Marcq-en-Barœul;59252
Saint-Germain-en-Laye;13150
Rezé;15170
Bron;69500
Anglet;64600
Gagny;93220
Chartres;28000
Bagneux;92220
Saint-Martin-d'Hères;13150
Montluçon;3100
Pontault-Combault;77340
Poissy;78300
Draguignan;83300
Joué-lès-Tours;21230
Savigny-sur-Orge;71440
Cherbourg-Octeville;50100
Saint-Joseph;13150
Le Port;97420
